date,rate
2025-11-15,48.8827
2025-11-14,48.8827
2025-11-13,48.6544
2025-11-12,48.6101
2025-11-11,48.543
2025-11-10,48.5058
2025-11-09,48.5224
2025-11-08,48.5224
2025-11-07,48.5224
2025-11-06,48.3351
2025-11-05,48.3329
2025-11-04,48.4269
2025-11-03,48.4088
2025-11-02,48.5132
2025-11-01,48.5132
2025-10-31,48.5132
2025-10-30,48.8657
2025-10-29,48.9784
2025-10-28,48.9742
2025-10-27,48.7668
2025-10-26,48.5502
2025-10-25,48.5502
2025-10-24,48.5502
2025-10-23,48.369
2025-10-22,48.4732
2025-10-21,48.663
2025-10-20,48.7624
2025-10-19,48.5224
2025-10-18,48.5224
2025-10-17,48.5224
2025-10-16,48.5301
2025-10-15,48.2354
2025-10-14,48.1347
2025-10-13,48.1094
2025-10-12,48.2053
2025-10-11,48.2053
2025-10-10,48.2053
2025-10-09,48.1386
2025-10-08,48.1742
2025-10-07,48.2696
2025-10-06,48.3818
2025-10-05,48.5039
2025-10-04,48.5039
2025-10-03,48.5039
2025-10-02,48.3734
2025-10-01,48.3028
2025-09-30,48.4408
2025-09-29,48.4059
2025-09-28,48.7118
2025-09-27,48.7118
2025-09-26,48.7118
2025-09-25,48.6573
2025-09-24,48.8012
2025-09-23,48.7304
2025-09-22,48.4215
2025-09-21,48.785
2025-09-20,48.785
2025-09-19,48.785
2025-09-18,48.7738
2025-09-17,48.6567
2025-09-16,48.4967
2025-09-15,48.3929
2025-09-14,48.2739
2025-09-13,48.2739
2025-09-12,48.2739
2025-09-11,48.2408
2025-09-10,48.2916
2025-09-09,48.3818
2025-09-08,48.1634
2025-09-07,48.1348
2025-09-06,48.1348
2025-09-05,48.1348
2025-09-04,48.2024
2025-09-03,48.1756
2025-09-02,48.4675
2025-09-01,48.196
2025-08-31,48.1341
2025-08-30,48.1341
2025-08-29,48.1341
2025-08-28,47.88
2025-08-27,48.2655
2025-08-26,48.4731
2025-08-25,47.91
2025-08-24,47.9825
2025-08-23,47.9825
2025-08-22,47.9825
2025-08-21,48.1684
2025-08-20,48.3241
2025-08-19,48.1739
2025-08-18,48.3059
2025-08-17,48.4405
2025-08-16,48.4405
2025-08-15,48.4405
2025-08-14,48.6472
2025-08-13,48.0758
2025-08-12,48.1969
2025-08-11,48.1939
2025-08-10,48.276
2025-08-09,48.276
2025-08-08,48.276
2025-08-07,48.2854
2025-08-06,48.0914
2025-08-05,48.347
2025-08-04,47.6448
2025-08-03,47.7491
2025-08-02,47.7491
2025-08-01,47.7491
2025-07-31,48.1481
2025-07-30,48.224
2025-07-29,48.6967
2025-07-28,48.9815
2025-07-27,49.1009
2025-07-26,49.1009
2025-07-25,49.1009
2025-07-24,48.9821
2025-07-23,48.8654
2025-07-22,48.7907
2025-07-21,48.607
2025-07-20,48.4527
2025-07-19,48.4527
2025-07-18,48.4527
2025-07-17,48.5197
2025-07-16,48.8031
2025-07-15,48.8973
2025-07-14,48.8416
2025-07-13,48.975
2025-07-12,48.975
2025-07-11,48.975
2025-07-10,48.8427
2025-07-09,49.0563
2025-07-08,49.0285
2025-07-07,49.121
2025-07-06,49.1758
2025-07-05,49.1758
2025-07-04,49.1758
2025-07-03,49.1328
2025-07-02,49.4093
2025-07-01,48.9856
2025-06-30,48.7823
2025-06-29,48.638
2025-06-28,48.638
2025-06-27,48.638
2025-06-26,48.3238
2025-06-25,48.5084
2025-06-24,48.0209
2025-06-23,48.2006
2025-06-22,47.859
2025-06-21,47.859
2025-06-20,47.859
2025-06-19,47.9028
2025-06-18,48.0159
2025-06-17,48.0675
2025-06-16,47.6926
2025-06-15,48.0825
2025-06-14,48.0825
2025-06-13,48.0825
2025-06-12,47.4562
2025-06-11,47.5033
2025-06-10,47.3713
2025-06-09,47.2726
2025-06-08,47.3773
2025-06-07,47.3773
2025-06-06,47.3773
2025-06-05,47.2013
2025-06-04,47.4263
2025-06-03,47.5032
2025-06-02,47.074
2025-06-01,46.8026
2025-05-31,46.8026
2025-05-30,46.8026
2025-05-29,47.0761
2025-05-28,47.3104
2025-05-27,47.295
2025-05-26,46.9949
2025-05-25,46.9281
2025-05-24,46.9281
2025-05-23,46.9281
2025-05-22,46.9138
2025-05-21,46.6521
2025-05-20,46.8562
2025-05-19,46.449
2025-05-18,46.3831
2025-05-17,46.3831
2025-05-16,46.3831
2025-05-15,46.5886
2025-05-14,46.0924
2025-05-13,46.1578
2025-05-12,46.7528
2025-05-11,46.887
2025-05-10,46.887
2025-05-09,46.887
2025-05-08,47.0745
2025-05-07,46.9637
2025-05-06,47.1868
2025-05-05,47.3127
2025-05-04,47.0808
2025-05-03,47.0808
2025-05-02,47.0808
2025-05-01,47.1687
2025-04-30,47.284
2025-04-29,47.3921
2025-04-28,47.3856
2025-04-27,47.4171
2025-04-26,47.4171
2025-04-25,47.4171
2025-04-24,47.5421
2025-04-23,47.7131
2025-04-22,47.7653
2025-04-21,47.0253
2025-04-20,47.0043
2025-04-19,47.0043
2025-04-18,47.0043
2025-04-17,46.8205
2025-04-16,46.6104
2025-04-15,47.0271
2025-04-14,46.9153
2025-04-13,45.8415
2025-04-12,45.8415
2025-04-11,45.8415
2025-04-10,45.5471
2025-04-09,45.0258
2025-04-08,45.0532
2025-04-07,45.5524
2025-04-06,45.8531
2025-04-05,45.8531
2025-04-04,45.8531
2025-04-03,44.6339
2025-04-02,44.6084
2025-04-01,44.8278
2025-03-31,44.7472
2025-03-30,44.7471
2025-03-29,44.7471
2025-03-28,44.7471
2025-03-27,44.823
2025-03-26,45.1389
2025-03-25,45.0886
2025-03-24,44.9807
2025-03-23,45.0014
2025-03-22,45.0014
2025-03-21,45.0014
2025-03-20,45.3229
2025-03-19,45.3483
2025-03-18,45.1649
2025-03-17,45.2291
2025-03-16,45.0007
2025-03-15,45.0007
2025-03-14,45.0007
2025-03-13,45.1644
2025-03-12,45.2141
2025-03-11,44.7716
2025-03-10,44.7281
2025-03-09,44.5596
2025-03-08,44.5596
2025-03-07,44.5596
2025-03-06,44.2493
2025-03-05,43.8775
2025-03-04,43.5417
2025-03-03,43.1134
2025-03-02,43.4942
2025-03-01,43.4942
2025-02-28,43.4942
2025-02-27,43.6252
2025-02-26,43.7892
2025-02-25,43.6448
2025-02-24,43.5093
2025-02-23,43.5511
2025-02-22,43.5511
2025-02-21,43.5511
2025-02-20,43.4737
2025-02-19,43.4661
2025-02-18,43.5168
2025-02-17,43.5907
2025-02-16,43.4361
2025-02-15,43.4361
2025-02-14,43.4361
2025-02-13,43.3557
2025-02-12,43.0114
2025-02-11,42.8955
2025-02-10,43.0327
2025-02-09,42.9792
2025-02-08,42.9792
2025-02-07,42.9792
2025-02-06,43.4081
2025-02-05,43.117
2025-02-04,42.8627
2025-02-03,43.3244
2025-02-02,43.5097
2025-02-01,43.5097
2025-01-31,43.5097
2025-01-30,43.6192
2025-01-29,43.7843
2025-01-28,44.146
2025-01-27,43.9168
2025-01-26,43.6709
2025-01-25,43.6709
2025-01-24,43.6709
2025-01-23,43.8735
2025-01-22,43.6419
2025-01-21,43.4998
2025-01-20,43.3684
2025-01-19,43.32
2025-01-18,43.32
2025-01-17,43.32
2025-01-16,43.5297
2025-01-15,43.3218
2025-01-14,43.1273
2025-01-13,43.5738
2025-01-12,43.5594
2025-01-11,43.5594
2025-01-10,43.5594
2025-01-09,43.4272
2025-01-08,43.8767
2025-01-07,43.9091
2025-01-06,43.3347
2025-01-05,43.3753
2025-01-04,43.3753
2025-01-03,43.3753
2025-01-02,43.6052
2025-01-01,43.6855
2024-12-31,43.9266
2024-12-30,43.7479
2024-12-29,43.5122
2024-12-28,43.5122
2024-12-27,43.5122
2024-12-26,43.5159
2024-12-25,43.6334
2024-12-24,43.6454
2024-12-23,43.5114
2024-12-22,43.577
2024-12-21,43.577
2024-12-20,43.577
2024-12-19,43.9581
2024-12-18,43.9143
2024-12-17,43.8064
2024-12-16,43.7373
2024-12-15,43.7042
2024-12-14,43.7042
2024-12-13,43.7042
2024-12-12,43.7997
2024-12-11,43.8215
2024-12-10,43.8525
2024-12-09,43.8567
2024-12-08,43.8146
2024-12-07,43.8146
2024-12-06,43.8146
2024-12-05,43.7043
2024-12-04,43.8238
2024-12-03,43.7242
2024-12-02,43.901
2024-12-01,43.8626
2024-11-30,43.8626
2024-11-29,43.8626
2024-11-28,43.8017
2024-11-27,43.6824
2024-11-26,43.4733
2024-11-25,42.9927
2024-11-24,43.4659
2024-11-23,43.4659
2024-11-22,43.4659
2024-11-21,43.5635
2024-11-20,43.691
2024-11-19,43.6345
2024-11-18,43.6532
2024-11-17,43.4677
2024-11-16,43.4677
2024-11-15,43.4677
2024-11-14,43.9499
2024-11-13,43.9416
2024-11-12,43.9949
2024-11-11,44.4864
2024-11-10,44.5642
2024-11-09,44.5642
2024-11-08,44.5642
2024-11-07,44.3374
2024-11-06,45.1503
2024-11-05,45.1417
2024-11-04,44.968
2024-11-03,44.8467
2024-11-02,44.8467
2024-11-01,44.8467
2024-10-31,44.635
2024-10-30,44.6074
2024-10-29,44.6975
2024-10-28,44.7136
2024-10-27,44.5413
2024-10-26,44.5413
2024-10-25,44.5413
2024-10-24,44.4355
2024-10-23,44.7081
2024-10-22,44.813
2024-10-21,44.7272
2024-10-20,44.7937
2024-10-19,44.7937
2024-10-18,44.7937
2024-10-17,44.9132
2024-10-16,44.9232
2024-10-15,44.9575
2024-10-14,45.0238
2024-10-13,45.0477
2024-10-12,45.0477
2024-10-11,45.0477
2024-10-10,45.1274
2024-10-09,45.2437
2024-10-08,45.221
2024-10-07,45.4322
2024-10-06,45.5236
2024-10-05,45.5236
2024-10-04,45.5236
2024-10-03,45.7147
2024-10-02,45.7106
2024-10-01,46.1539
2024-09-30,45.9541
2024-09-29,45.9598
2024-09-28,45.9598
2024-09-27,45.9598
2024-09-26,46.1958
2024-09-25,46.0414
2024-09-24,45.9928
2024-09-23,46.1486
2024-09-22,46.2396
2024-09-21,46.2396
2024-09-20,46.2396
2024-09-19,46.1099
2024-09-18,46.1245
2024-09-17,46.0079
2024-09-16,45.7959
2024-09-15,45.4595
2024-09-14,45.4595
2024-09-13,45.4595
2024-09-12,45.4894
2024-09-11,45.3774
2024-09-10,45.383
2024-09-09,45.5574
2024-09-08,45.5882
2024-09-07,45.5882
2024-09-06,45.5882
2024-09-05,45.6065
2024-09-04,45.5431
2024-09-03,45.4622
2024-09-02,45.5018
2024-09-01,45.7045
2024-08-31,45.7045
2024-08-30,45.7045
2024-08-29,45.8791
2024-08-28,46.1041
2024-08-27,46.1816
2024-08-26,45.8406
2024-08-25,45.9826
2024-08-24,45.9826
2024-08-23,45.9826
2024-08-22,45.898
2024-08-21,45.8195
2024-08-20,45.6085
2024-08-19,45.2991
2024-08-18,45.3055
2024-08-17,45.3055
2024-08-16,45.3055
2024-08-15,45.5497
2024-08-14,45.1957
2024-08-13,45.1058
2024-08-12,44.8855
2024-08-11,44.809
2024-08-10,44.809
2024-08-09,44.809
2024-08-08,44.7676
2024-08-07,44.7931
2024-08-06,45.1474
2024-08-05,44.6467
2024-08-04,44.4013
2024-08-03,44.4013
2024-08-02,44.4013
2024-08-01,44.4016
2024-07-31,44.4181
2024-07-30,44.4055
2024-07-29,44.6324
2024-07-28,44.683
2024-07-27,44.683
2024-07-26,44.683
2024-07-25,44.7044
2024-07-24,44.7693
2024-07-23,44.9952
2024-07-22,45.186
2024-07-21,45.2618
2024-07-20,45.2618
2024-07-19,45.2618
2024-07-18,45.3457
2024-07-17,44.9789
2024-07-16,44.7263
2024-07-15,44.686
2024-07-14,44.3818
2024-07-13,44.3818
2024-07-12,44.3818
2024-07-11,44.0776
2024-07-10,44.0846
2024-07-09,44.0781
2024-07-08,43.8624
2024-07-07,43.7814
2024-07-06,43.7814
2024-07-05,43.7814
2024-07-04,43.8495
2024-07-03,43.6977
2024-07-02,43.6853
2024-07-01,43.2658
2024-06-30,43.3547
2024-06-29,43.3547
2024-06-28,43.3547
2024-06-27,43.3133
2024-06-26,43.545
2024-06-25,43.5188
2024-06-24,43.2347
2024-06-23,43.4276
2024-06-22,43.4276
2024-06-21,43.4276
2024-06-20,43.5744
2024-06-19,43.4486
2024-06-18,43.5366
2024-06-17,43.4782
2024-06-16,43.885
2024-06-15,43.885
2024-06-14,43.885
2024-06-13,43.532
2024-06-12,43.4594
2024-06-11,43.4726
2024-06-10,43.8709
2024-06-09,43.627
2024-06-08,43.627
2024-06-07,43.627
2024-06-06,43.6083
2024-06-05,43.7671
2024-06-04,43.8939
2024-06-03,43.985
2024-06-02,43.8171
2024-06-01,43.8171
2024-05-31,43.8171
2024-05-30,43.9202
2024-05-29,43.9708
2024-05-28,43.759
2024-05-27,43.491
2024-05-26,43.3137
2024-05-25,43.3137
2024-05-24,43.3137
2024-05-23,43.1106
2024-05-22,43.2643
2024-05-21,43.0802
2024-05-20,42.7549
2024-05-19,42.8452
2024-05-18,42.8452
2024-05-17,42.8452
2024-05-16,42.8501
2024-05-15,42.8305
2024-05-14,42.7495
2024-05-13,42.8148
2024-05-12,42.4312
2024-05-11,42.4312
2024-05-10,42.4312
2024-05-09,42.3168
2024-05-08,42.3087
2024-05-07,42.3983
2024-05-06,42.3359
2024-05-05,42.3098
2024-05-04,42.3098
2024-05-03,42.3098
2024-05-02,42.2986
2024-05-01,42.3641
2024-04-30,42.4972
2024-04-29,42.4409
2024-04-28,42.5205
2024-04-27,42.5205
2024-04-26,42.5205
2024-04-25,42.1833
2024-04-24,42.262
2024-04-23,42.3118
2024-04-22,42.3821
2024-04-21,42.2789
2024-04-20,42.2789
2024-04-19,42.2789
2024-04-18,42.0562
2024-04-17,42.1222
2024-04-16,42.1618
2024-04-15,41.9678
2024-04-14,42.019
2024-04-13,42.019
2024-04-12,42.019
2024-04-11,42.3616
2024-04-10,42.3519
2024-04-09,42.2008
2024-04-08,42.091
2024-04-07,42.3485
2024-04-06,42.3485
2024-04-05,42.3485
2024-04-04,42.2643
2024-04-03,42.2768
2024-04-02,42.1384
2024-04-01,42.1601
2024-03-31,42.367
2024-03-30,42.367
2024-03-29,42.367
2024-03-28,42.442
2024-03-27,42.6911
2024-03-26,42.4898
2024-03-25,42.1252
2024-03-24,42.4693
2024-03-23,42.4693
2024-03-22,42.4693
2024-03-21,42.4394
2024-03-20,42.4641
2024-03-19,42.447
2024-03-18,42.2452
2024-03-17,42.287
2024-03-16,42.287
2024-03-15,42.287
2024-03-14,42.4183
2024-03-13,42.0414
2024-03-12,41.9559
2024-03-11,41.6957
2024-03-10,41.4883
2024-03-09,41.4883
2024-03-08,41.4883
2024-03-07,41.5918
2024-03-06,41.6463
2024-03-05,41.5433
2024-03-04,41.2635
2024-03-03,41.2035
2024-03-02,41.2035
2024-03-01,41.2035
2024-02-29,41.2968
2024-02-28,41.7179
2024-02-27,41.5985
2024-02-26,41.5628
2024-02-25,41.728
2024-02-24,41.728
2024-02-23,41.728
2024-02-22,41.7213
2024-02-21,41.5421
2024-02-20,41.2403
2024-02-19,40.8919
2024-02-18,40.7718
2024-02-17,40.7718
2024-02-16,40.7718
2024-02-15,40.8684
2024-02-14,41.1212
2024-02-13,40.8092
2024-02-12,40.5129
2024-02-11,40.4129
2024-02-10,40.4129
2024-02-09,40.4129
2024-02-08,40.5035
2024-02-07,40.3946
2024-02-06,40.3747
2024-02-05,40.8797
2024-02-04,40.6695
2024-02-03,40.6695
2024-02-02,40.6695
2024-02-01,40.7067
2024-01-31,41.0845
2024-01-30,41.0042
2024-01-29,41.0567
2024-01-28,40.9161
2024-01-27,40.9161
2024-01-26,40.9161
2024-01-25,40.8837
2024-01-24,40.6905
2024-01-23,40.7928
2024-01-22,40.8404
2024-01-21,41.0146
2024-01-20,41.0146
2024-01-19,41.0146
2024-01-18,41.21
2024-01-17,41.2848
2024-01-16,41.4763
2024-01-15,41.3879
2024-01-14,41.741
2024-01-13,41.741
2024-01-12,41.741
2024-01-11,41.8015
2024-01-10,41.8185
2024-01-09,41.7973
2024-01-08,41.573
2024-01-07,41.6665
2024-01-06,41.6665
2024-01-05,41.6665
2024-01-04,41.6073
2024-01-03,41.7209
2024-01-02,42.0059
2024-01-01,41.996
2023-12-31,42.2079
2023-12-30,42.2079
2023-12-29,42.2079
2023-12-28,41.6334
2023-12-27,41.1538
2023-12-26,41.3611
2023-12-25,41.3753
2023-12-24,41.2846
2023-12-23,41.2846
2023-12-22,41.2846
2023-12-21,41.0664
2023-12-20,40.9219
2023-12-19,40.5918
2023-12-18,40.5122
2023-12-17,40.413
2023-12-16,40.413
2023-12-15,40.413
2023-12-14,39.9217
2023-12-13,39.9376
2023-12-12,39.6738
2023-12-11,39.601
2023-12-10,39.496
2023-12-09,39.496
2023-12-08,39.496
2023-12-07,39.5433
2023-12-06,39.6461
2023-12-05,39.7135
2023-12-04,39.6582
2023-12-03,39.7235
2023-12-02,39.7235
2023-12-01,39.7235
2023-11-30,39.9582
2023-11-29,39.8172
2023-11-28,39.6579
2023-11-27,39.358
2023-11-26,39.27
2023-11-25,39.27
2023-11-24,39.27
2023-11-23,39.3352
2023-11-22,39.466
2023-11-21,39.3986
2023-11-20,39.2582
2023-11-19,39.3054
2023-11-18,39.3054
2023-11-17,39.3054
2023-11-16,39.3939
2023-11-15,38.9392
2023-11-14,38.5945
2023-11-13,38.542
2023-11-12,38.5225
2023-11-11,38.5225
2023-11-10,38.5225
2023-11-09,38.4518
2023-11-08,38.484
2023-11-07,38.7206
2023-11-06,38.7278
2023-11-05,38.6703
2023-11-04,38.6703
2023-11-03,38.6703
2023-11-02,38.2311
2023-11-01,38.5451
2023-10-31,38.5624
2023-10-30,38.3774
2023-10-29,38.4687
2023-10-28,38.4687
2023-10-27,38.4687
2023-10-26,38.6171
2023-10-25,38.9091
2023-10-24,38.7613
2023-10-23,38.7033
2023-10-22,38.6511
2023-10-21,38.6511
2023-10-20,38.6511
2023-10-19,38.609
2023-10-18,38.5503
2023-10-17,38.2806
2023-10-16,38.2782
2023-10-15,38.6422
2023-10-14,38.6422
2023-10-13,38.6422
2023-10-12,38.6394
2023-10-11,38.6049
2023-10-10,38.4827
2023-10-09,38.6533
2023-10-08,38.5406
2023-10-07,38.5406
2023-10-06,38.5406
2023-10-05,38.4288
2023-10-04,38.3263
2023-10-03,38.5177
2023-10-02,38.7408
2023-10-01,38.5543
2023-09-30,38.5543
2023-09-29,38.5543
2023-09-28,38.5506
2023-09-27,38.7609
2023-09-26,38.8724
2023-09-25,38.898
2023-09-24,38.8944
2023-09-23,38.8944
2023-09-22,38.8944
2023-09-21,39.1394
2023-09-20,39.154
2023-09-19,38.9931
2023-09-18,38.9602
2023-09-17,39.2381
2023-09-16,39.2381
2023-09-15,39.2381
2023-09-14,39.2674
2023-09-13,39.1906
2023-09-12,39.1979
2023-09-11,39.1247
2023-09-10,39.1467
2023-09-09,39.1467
2023-09-08,39.1467
2023-09-07,39.2856
2023-09-06,39.2527
2023-09-05,39.4977
2023-09-04,39.6221
2023-09-03,39.7391
2023-09-02,39.7391
2023-09-01,39.7391
2023-08-31,39.7903
2023-08-30,39.516
2023-08-29,39.516
2023-08-28,39.5051
2023-08-27,39.655
2023-08-26,39.655
2023-08-25,39.655
2023-08-24,39.5343
2023-08-23,39.8086
2023-08-22,39.889
2023-08-21,39.7245
2023-08-20,39.8415
2023-08-19,39.8415
2023-08-18,39.8415
2023-08-17,39.911
2023-08-16,39.9658
2023-08-15,40.006
2023-08-14,40.2145
2023-08-13,40.284
2023-08-12,40.284
2023-08-11,40.284
2023-08-10,40.1194
2023-08-09,40.0134
2023-08-08,40.1633
2023-08-07,40.0024
2023-08-06,39.9914
2023-08-05,39.9914
2023-08-04,39.9914
2023-08-03,40.145
2023-08-02,40.134
2023-08-01,40.3242
2023-07-31,40.2584
2023-07-30,40.7228
2023-07-29,40.7228
2023-07-28,40.7228
2023-07-27,40.4558
2023-07-26,40.4046
2023-07-25,40.5838
2023-07-24,40.6643
2023-07-23,40.9897
2023-07-22,40.9897
2023-07-21,40.9897
2023-07-20,41.0117
2023-07-19,41.1506
2023-07-18,41.0812
2023-07-17,41.0483
2023-07-16,40.8581
2023-07-15,40.8581
2023-07-14,40.8581
2023-07-13,40.2803
2023-07-12,40.167
2023-07-11,40.0627
2023-07-10,39.8214
2023-07-09,39.8433
2023-07-08,39.8433
2023-07-07,39.8433
2023-07-06,39.7848
2023-07-05,39.8543
2023-07-04,39.8543
2023-07-03,39.6952
2023-07-02,40.0006
2023-07-01,40.0006
2023-06-30,40.0006
2023-06-29,40.0042
2023-06-28,40.0225
2023-06-27,39.9238
2023-06-26,39.7738
2023-06-25,40.1852
2023-06-24,40.1852
2023-06-23,40.1852
2023-06-22,39.9494
2023-06-21,39.964
2023-06-20,39.9384
2023-06-19,40.081
2023-06-18,39.5691
2023-06-17,39.5691
2023-06-16,39.5691
2023-06-15,39.5069
2023-06-14,39.4721
2023-06-13,39.357
2023-06-12,39.4082
2023-06-11,39.2619
2023-06-10,39.2619
2023-06-09,39.2619
2023-06-08,39.1851
2023-06-07,39.0516
2023-06-06,39.0937
2023-06-05,39.346
2023-06-04,39.1522
2023-06-03,39.1522
2023-06-02,39.1522
2023-06-01,39.0553
2023-05-31,39.2802
2023-05-30,39.1759
2023-05-29,39.3167
2023-05-28,39.2436
2023-05-27,39.2436
2023-05-26,39.2436
2023-05-25,39.41
2023-05-24,39.3972
2023-05-23,39.5691
2023-05-22,39.5179
2023-05-21,39.5471
2023-05-20,39.5471
2023-05-19,39.5471
2023-05-18,39.5947
2023-05-17,39.8104
2023-05-16,39.7702
2023-05-15,39.8287
2023-05-14,39.9713
2023-05-13,39.9713
2023-05-12,39.9713
2023-05-11,40.0444
2023-05-10,40.0883
2023-05-09,40.348
2023-05-08,40.2602
2023-05-07,40.4942
2023-05-06,40.4942
2023-05-05,40.4942
2023-05-04,40.3699
2023-05-03,40.1066
2023-05-02,40.2693
2023-05-01,40.1322
2023-04-30,40.3461
2023-04-29,40.3461
2023-04-28,40.3461
2023-04-27,40.3918
2023-04-26,40.2858
2023-04-25,40.2291
2023-04-24,40.1505
2023-04-23,40.0664
2023-04-22,40.0664
2023-04-21,40.0664
2023-04-20,39.9677
2023-04-19,40.1066
2023-04-18,40.1432
2023-04-17,40.4174
2023-04-16,40.2639
2023-04-15,40.2639
2023-04-14,40.2639
2023-04-13,39.9421
2023-04-12,39.8835
2023-04-11,39.825
2023-04-10,39.9146
2023-04-09,39.9146
2023-04-08,39.9146
2023-04-07,39.9146
2023-04-06,40.0152
2023-04-05,39.8653
2023-04-04,39.761
2023-04-03,39.7373
2023-04-02,39.7812
2023-04-01,39.7812
2023-03-31,39.7812
2023-03-30,39.6989
2023-03-29,39.6111
2023-03-28,39.3899
2023-03-27,39.3076
2023-03-26,39.7665
2023-03-25,39.7665
2023-03-24,39.7665
2023-03-23,39.4264
2023-03-22,39.4228
2023-03-21,39.1485
2023-03-20,38.8523
2023-03-19,38.717
2023-03-18,38.717
2023-03-17,38.717
2023-03-16,38.6183
2023-03-15,39.2728
2023-03-14,39.1046
2023-03-13,38.7426
2023-03-12,38.6201
2023-03-11,38.6201
2023-03-10,38.6201
2023-03-09,38.5671
2023-03-08,39.0132
2023-03-07,38.9126
2023-03-06,38.8048
2023-03-05,38.7847
2023-03-04,38.7847
2023-03-03,38.7847
2023-03-02,39.0754
2023-03-01,38.8231
2023-02-28,38.611
2023-02-27,38.6402
2023-02-26,38.8231
2023-02-25,38.8231
2023-02-24,38.8231
2023-02-23,38.9328
2023-02-22,38.984
2023-02-21,39.0242
2023-02-20,38.8377
2023-02-19,39.1046
2023-02-18,39.1046
2023-02-17,39.1046
2023-02-16,39.1229
2023-02-15,39.3405
2023-02-14,39.0973
2023-02-13,39.0644
2023-02-12,39.3826
2023-02-11,39.3826
2023-02-10,39.3826
2023-02-09,39.2564
2023-02-08,39.1485
2023-02-07,39.4045
2023-02-06,39.9859
2023-02-05,40.1724
2023-02-04,40.1724
2023-02-03,40.1724
2023-02-02,39.8323
2023-02-01,39.5947
2023-01-31,39.8762
2023-01-30,39.7482
2023-01-29,39.8433
